"success","category","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","ttype","responses","repeat_instructions","key_press","index","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","keypress_isi","total_bonus_tally"
"","","","html-keyboard-response","244","75489","0.0-1.0-319.0","0","0","71923","","null","S2","","","null","35","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","245","75856","0.0-1.0-320.0","0","0","71923","","367","response","","","75","35","","4","35","test","adjacent","1","2","M.jpg","R.jpg","1","1","1","","",""
"","","","html-keyboard-response","246","75961","0.0-1.0-321.0-0.0","0","0","71923","","null","feedback","","","null","35","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","247","76464","0.0-1.0-324.0","0","0","71923","","111","ITI","","","75","35","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","248","76717","0.0-1.0-326.0","0","0","71923","","null","S1","","","null","36","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","249","76822","0.0-1.0-327.0","0","0","71923","","null","ISI","","","null","36","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","250","77078","0.0-1.0-328.0","0","0","71923","","108","S2","","","75","36","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","251","77196","0.0-1.0-329.0","0","0","71923","","117","response","","","75","36","","4","36","test","non_adjacent","6","1","N.jpg","M.jpg","1","0","0","","",""
"","","","html-keyboard-response","252","77300","0.0-1.0-330.0-0.0","0","0","71923","","null","feedback","","","null","36","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","253","77405","0.0-1.0-332.0-0.0","0","0","71923","","null","time_out","","","null","36","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","254","77910","0.0-1.0-333.0","0","0","71923","","66","ITI","","","75","36","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","255","78161","0.0-1.0-335.0","0","0","71923","","null","S1","","","null","37","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","256","78265","0.0-1.0-336.0","0","0","71923","","3","ISI","","","75","37","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","257","78522","0.0-1.0-337.0","0","0","71923","","null","S2","","","null","37","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","258","78599","0.0-1.0-338.0","0","0","71923","","76","response","","","75","37","","4","37","test","non_adjacent","1","3","M.jpg","P.jpg","1","1","1","","",""
"","","","html-keyboard-response","259","78703","0.0-1.0-339.0-0.0","0","0","71923","","null","feedback","","","null","37","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","260","79205","0.0-1.0-342.0","0","0","71923","","109","ITI","","","75","37","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","261","79952","0.0-1.0-343.0-0.0","0","0","71923","","745","block_over","","","32","37","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","262","80205","0.0-1.0-344.0","0","0","71923","","null","S1","","","null","38","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","263","80312","0.0-1.0-345.0","0","0","71923","","null","ISI","","","null","38","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","264","80566","0.0-1.0-346.0","0","0","71923","","null","S2","","","null","38","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","265","80731","0.0-1.0-347.0","0","0","71923","","164","response","","","75","38","","5","38","test","non_adjacent","5","3","O.jpg","P.jpg","1","0","0","","",""
"","","","html-keyboard-response","266","80835","0.0-1.0-348.0-0.0","0","0","71923","","null","feedback","","","null","38","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","267","80939","0.0-1.0-350.0-0.0","0","0","71923","","null","time_out","","","null","38","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","268","81440","0.0-1.0-351.0","0","0","71923","","20","ITI","","","75","38","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","269","81695","0.0-1.0-353.0","0","0","71923","","null","S1","","","null","39","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","270","81796","0.0-1.0-354.0","0","0","71923","","13","ISI","","","75","39","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","271","82049","0.0-1.0-355.0","0","0","71923","","null","S2","","","null","39","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","272","82135","0.0-1.0-356.0","0","0","71923","","84","response","","","75","39","","5","39","test","non_adjacent","2","5","R.jpg","O.jpg","1","1","1","","",""
"","","","html-keyboard-response","273","82239","0.0-1.0-357.0-0.0","0","0","71923","","null","feedback","","","null","39","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","274","82744","0.0-1.0-360.0","0","0","71923","","159","ITI","","","75","39","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","275","82996","0.0-1.0-362.0","0","0","71923","","null","S1","","","null","40","","","","","","","","","","","","","","",""
